iter	val_acc	status	analysis_summary	description
1	0.734000	keep	baseline; no BN/dropout/augment/schedule; val_acc still rising at epoch 5 (not converged); train_loss=0.6507; per-layer activation stats not yet measured	baseline
2	0.720500	discard	BN alone caused overfitting (peak 0.7235 at epoch 3, declined to 0.7205 by epoch 5); train_loss=0.5639 still falling; BN without regularization = faster overfit; need BN+regularizer combo	iter2-a1: add BatchNorm2d (Conv→BN→ReLU) to both conv layers
3	0.733500	discard	weight_decay=1e-4 negligible on underfitting model; curve monotonic (no overfit) but essentially tied with baseline (-0.0005); bottleneck is convergence speed not regularization; try AdamW next	iter3-a1: set weight_decay=0.0001
4	0.735000	keep	AdamW faster in early epochs (epoch1: +6.6% over SGD) but gap closes to +0.001 at epoch 5; both hit same 5-epoch ceiling; architecture capacity is now the binding bottleneck; next: 3rd conv block	iter4-a1: switch to AdamW lr=0.001
5	0.753500	keep	3rd conv block broke 0.735 ceiling (+1.85pp); model still underfitting at epoch 5 (big jump epoch4→5: +3.1%); unusual near-stall at epoch 4; 3-conv AdamW now best; ceiling not yet found	iter5-a1: add Conv(64→128)+ReLU+MaxPool; Linear(4096→2048)
6	0.763500	keep	BN+weight_decay accelerated early convergence (+5.2pp at epoch1 vs iter5); BN advantage narrows to +1.0pp by epoch5; curve smooth (no stall); still underfitting at epoch5 (+1.3pp epoch4→5); impact over-predicted (3.6pp vs 1.0pp realized)	iter6-a1: BatchNorm2d after all 3 conv layers + weight_decay=1e-4
7	0.764000	keep	LR=0.003 HURT epoch1 (-6.0pp vs iter6) but recovered to same ceiling by epoch5 (+0.05pp); ~0.764 ceiling is LR-invariant; mirrors iter4 discovery — 3-conv BN ceiling; need architectural widening	iter7-a1: AdamW lr 0.001→0.003
8	0.785000	keep	FIRST HIT (+2.1pp, threshold 0.775 met); 64/128/256 widening broke ~0.764 ceiling; first under-prediction; model still underfitting at epoch5 (epoch4→5: +1.45pp); new ceiling not yet found	iter8-a1: proportional channel widening 32/64/128→64/128/256
9	0.769000	discard	fc1=1024 hurt convergence (-1.6pp; stall at epoch3→4 with 4M fc1 params); conv NOT classifier is bottleneck; reverted to iter8 state	iter9-a1: widen fc1 from 256→1024
10	0.798500	keep	4th conv (256→256 at 4×4) +1.35pp; predicted +2.0pp (33% miss); fine-resolution conv adds less than coarser (cf. +1.85pp 3rd conv, +2.1pp widening); epoch4→5: +1.80pp (steepest since iter5); model MORE underfitted than iter8 was; 4-conv ceiling not yet found	iter10-a1: 4th conv Conv2d(256→256)+BN+ReLU at 4×4 (no pool, fc1 unchanged)
11	0.785500	discard	8×8 extra conv (-1.3pp regression vs iter10); epoch3 stall (0.7145 vs iter10's 0.7675 at epoch3 — 5.3pp gap); 5-conv ~1.57M params exceeds 5-epoch convergence budget; same stall pattern as iter9; 4-conv (iter10) is practical ceiling at current param scale; reverted to iter10 state	iter11-a1: extra conv Conv2d(128→128)+BN+ReLU at 8×8 stage
